,,여행자,국제우편,특송화물,기타*,합계,,,
2012,건수,52,91,84,5,232,,,
,중량(kg),345,4,51,236,636,,,
2013,건수,47,139,63,5,254,,,
,중량(kg),903,11,9,7,930,,,
2014,건수,34,228,40,6,308,,,
,중량(kg),"1,104",33,457,0,"1,594",,,
2015,건수,51,179,53,9,292,,,
,중량(kg),330,7,42,"1,658","2,037",,,
2016,건수,74,240,60,4,378,,,
,중량(kg),"27,090","15,712","6,163",398,"49,363",,,
2017,건수,73,270,83,3,429,,,
,중량(kg),"15,360","28,296","14,817","10,660","69,133",,,
2018,건수,61,407,176,15,659,,,
,중량(kg),"87,795","36,913","75,066","162,182","361,956",,,
2019,건수,325,292,38,6,661,,,
,중량(kg),"185,701","33,133","28,521","164,721","412,076",,,
2020,건수,312,292,79,13,696,,,
,중량(kg),"55,591","38,217","50,295","4,326","148,429",,,
2021,건수,86,780,177,11,"1,054",,,
,중량(kg),"13,896","193,306","121,405","943,867","1,272,474",,,
2022,건수,112,461,196,2,771,,,
,중량(kg),"36,155","361,287","225,776","1,233","624,451",,,
