"국가별",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"국가별",인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%)
"대한민국",44.7,56.6,59.4,65.5,72.7,73.5,78.1,78.8,81.0,81.6,83.7,83.8,84.1,84.8,87.6,89.9,92.8,95.1,96.0,96.2,96.5,97.6
"버뮤다",42.9,47.5,52.0,56.5,61.0,65.4,69.9,74.4,82.3,83.3,84.2,88.3,91.3,95.3,96.8,98.3,98.0,98.4,-,-,-,-
"캐나다",51.3,60.2,61.6,64.2,66.0,71.7,72.4,73.2,76.7,80.3,80.3,83.0,83.0,85.8,87.1,90.0,91.2,92.7,94.6,96.5,92.3,-
"그린란드",31.7,35.5,44.2,54.5,56.1,57.7,59.4,61.1,62.8,62.8,63.0,64.0,64.9,65.8,66.7,67.6,68.5,69.5,-,-,-,-
"멕시코",5.1,7.0,11.9,12.9,14.1,17.2,19.5,20.8,21.7,26.3,31.1,37.2,39.8,43.5,44.4,57.4,59.5,63.9,65.8,70.1,72.0,72.0
"미국",43.1,49.1,58.8,61.7,64.8,68.0,68.9,75.0,74.0,71.0,71.7,69.7,74.7,71.4,73.0,74.6,85.5,87.3,88.5,89.4,90.9,-
"안길라",22.4,25.9,24.8,24.5,25.0,29.0,36.0,41.0,44.0,48.0,49.6,53.6,59.2,64.8,70.4,76.0,81.6,-,-,-,-,-
"앤티가바부다",6.5,8.9,12.5,17.2,24.3,27.0,30.0,34.0,38.0,42.0,47.0,52.0,58.0,63.4,67.8,70.0,73.0,-,-,-,-,-
"아르헨티나",7.0,9.8,10.9,11.9,16.0,17.7,20.9,25.9,28.1,34.0,45.0,51.0,55.8,59.9,64.7,68.0,71.0,74.3,77.7,79.9,85.5,87.1
"아루바",15.4,17.1,18.8,20.8,23.0,25.4,28.0,30.9,52.0,58.0,62.0,69.0,74.0,78.9,83.8,88.7,93.5,97.2,-,-,-,-
"바하마",8.0,11.8,18.0,20.0,22.0,25.0,26.0,27.0,31.5,33.9,43.0,65.0,71.7,72.0,76.9,78.0,80.0,80.6,83.0,85.0,87.0,-
"바베이도스",4.0,11.9,27.8,39.7,49.8,52.5,55.3,58.2,61.4,64.7,65.1,66.5,71.2,71.8,75.2,76.1,79.5,81.8,-,-,-,-
"벨리즈",6.0,-,5.7,-,9.8,17.0,24.0,24.6,26.3,27.2,28.2,30.7,31.0,33.6,38.7,41.6,44.6,47.1,49.8,50.8,-,-
"볼리비아",1.4,2.1,3.1,3.5,4.4,5.2,6.2,10.5,12.5,16.8,22.4,30.0,35.3,37.0,34.6,37.5,39.7,43.8,44.3,47.5,59.9,-
"브라질",2.9,4.5,9.1,13.2,19.1,21.0,28.2,30.9,33.8,39.2,40.7,45.7,48.6,51.0,54.6,58.3,60.9,67.5,70.4,73.9,81.3,-
"영국령버진아일랜드",-,-,18.9,-,-,-,-,-,-,36.0,37.0,37.4,37.6,-,-,-,77.7,77.7,-,-,-,-
"케이맨제도",-,-,-,-,-,38.0,44.5,52.0,61.0,64.5,66.0,69.5,69.7,71.4,74.1,77.0,79.0,81.1,-,-,-,-
"칠레",16.6,19.1,22.1,25.5,28.2,31.2,34.5,35.9,37.3,41.6,45.0,52.2,55.1,58.0,61.1,76.6,83.6,82.3,84.9,86.1,88.3,-
"콜롬비아",2.2,2.9,4.6,7.4,9.1,11.0,15.3,21.8,25.6,30.0,36.5,40.4,49.0,51.7,52.6,55.9,58.1,62.3,64.1,65.0,69.8,-
"코스타리카",5.8,9.6,19.9,20.3,20.8,22.1,25.1,28.4,32.3,34.3,36.5,39.2,47.5,46.0,53.0,59.8,65.9,71.6,73.5,81.2,80.5,82.7
"쿠바",0.5,1.1,3.8,5.2,8.4,9.7,11.2,11.7,12.9,14.3,15.9,16.0,21.2,27.9,29.1,37.3,43.0,57.1,62.7,68.0,74.0,71.1
"도미니카연방",8.8,13.2,18.4,23.6,30.3,38.5,39.4,40.3,41.2,42.0,47.5,48.6,49.8,51.0,57.5,65.0,67.0,69.6,-,-,-,-
"도미니카공화국",3.7,4.4,6.8,7.9,8.9,11.5,14.8,17.7,20.8,27.7,31.4,38.0,42.3,45.9,49.6,54.2,63.9,67.6,74.8,75.8,76.9,-
"에콰도르",1.5,2.7,4.3,4.5,4.8,6.0,7.2,10.8,18.8,24.6,29.0,31.4,35.1,40.3,45.6,48.9,54.1,55.8,57.5,59.2,70.7,-
"엘살바도르",1.2,1.5,1.9,2.5,3.2,4.2,5.5,6.1,10.1,12.1,15.9,18.9,20.3,23.1,24.8,26.8,29.0,33.8,43.8,50.5,54.6,-
"포클랜드",58.6,64.6,64.1,64.0,67.3,84.0,87.1,90.1,93.0,95.8,95.8,96.4,96.9,96.9,97.6,98.3,99.0,-,-,-,-,-
"프랑스령기아나",9.7,11.6,13.9,16.6,19.5,20.8,22.1,23.3,24.5,25.7,-,-,-,-,-,-,-,-,-,-,-,-
"그레나다",4.1,5.1,14.8,18.6,19.6,20.5,21.4,22.3,23.2,24.1,27.0,30.0,32.0,35.0,51.6,52.5,53.3,54.2,55.1,56.0,56.9,-
"과들루프",5.8,9.2,11.4,14.1,17.5,18.7,19.8,21.0,22.2,23.4,-,-,-,-,-,-,-,-,-,-,-,-
"과테말라",0.7,1.7,3.4,4.5,5.1,5.7,6.5,7.3,8.3,9.3,10.5,12.3,16.0,19.7,23.4,28.8,34.5,37.9,41.5,44.4,50.0,50.8
"가이아나",0.6,1.0,1.5,2.4,3.7,5.7,8.9,13.8,18.2,23.9,29.9,30.0,30.5,31.0,32.0,34.0,35.7,37.3,-,-,-,-
"아이티",0.2,0.3,0.9,1.6,5.4,6.4,6.8,7.2,7.6,8.1,8.4,9.0,9.8,10.6,11.4,14.2,22.8,27.2,32.5,33.3,34.5,-
"온두라스",1.2,1.4,2.6,4.8,5.6,6.5,7.8,9.4,9.6,9.8,11.1,15.9,18.1,17.8,23.0,27.1,29.5,31.7,36.0,39.4,42.1,-
"자메이카",3.1,3.9,6.1,7.8,10.0,12.8,16.4,21.1,23.6,24.3,27.7,37.4,33.8,37.1,40.4,42.2,44.4,55.1,68.2,-,-,-
"마르티니크",7.8,10.3,15.4,20.3,27.8,32.7,35.0,37.3,39.7,42.0,-,-,-,-,-,-,-,-,-,-,-,-
